minx,stQux,medianx,rdQux,maxx,miny,stQuy,mediany,rdQuy,maxy,minz,stQuz,medianz,rdQuz,maxz,Caida
-11.159973,-0.97623575,0.64733232,2.3068132,16.190788,0.8571242,6.727108,7.63002165,8.5473,18.386871,-2.4468741,5.100847,6.035184,6.994062,12.561179,0
-13.636774,-1.21415955,0.31902736,5.22265165,19.607914,-19.60911,4.048595,8.008006,9.086594,16.597803,-8.907627,3.8618473,5.4617724,7.14788915,19.608511,1
-7.719505,-1.16657485,0.483928025,1.9596541,12.857462,0.2220622,7.011719,7.8332295,8.6487545,14.826693,-7.7332716,5.2483895,5.97054055,6.74745915,11.166556,0
-9.596559,-1.8462288,0.08559271,1.4802152,12.364256,1.1911154,6.4912794,7.6093717,8.539818,12.955624,0.4165911,5.3324857,6.1507044,7.10838485,12.613852,0
-6.6774287,1.5059528,3.165733,7.7410526,19.607914,-19.60911,3.7463272,7.7147164,8.668207,14.0629425,-8.898649,4.039018,4.830302,5.6545057,18.016367,1
-17.056293,-0.94570965,0.80804306,2.6204538,13.224373,-1.2354081,6.3631897,7.3109942,8.204929,19.607914,-3.4650085,5.459977,6.444293,7.429806,13.825916,0
-19.60911,-1.5194202,-0.294187545,2.0461446,19.607914,-19.60911,6.0737905,7.8125793,8.801684,17.335815,-5.4126916,4.6004585,6.00615425,7.26191305,19.608511,1
-11.155185,-0.75357497,0.58807582,3.24324545,19.607914,-19.60911,5.7065797,7.69466495,8.8549545,17.140089,-5.9687448,4.276942,5.8364654,6.9614406,19.608511,1
-13.161526,-1.7818847,-0.108337626,3.1040826,19.607914,-15.312117,5.907094,7.908048,9.039309,16.484676,-16.303316,3.7463272,5.673061,7.355586,14.702194,1
-8.683171,-1.81959335,0.23523031,3.8663365,19.607914,-12.07336,5.72992325,7.948151,9.140763,16.70674,-4.8823757,3.96689295,5.54557,7.2906435,19.608511,1
-15.047558,-1.42484935,0.23642741,1.678934,11.917738,0.58657944,6.96144055,7.7069354,8.5278465,17.67699,-3.5422213,5.2295351,6.0681043,6.9416885,14.441825,0
-12.033856,-0.9816227,0.3824737,2.5791538,19.607914,-19.60911,6.853402,8.118139,9.018359,14.629769,-15.644911,3.442862,5.3169236,6.2087636,19.59654,1
